id,type,level,keyword,meaning,example_1,translation_1,example_2,translation_2,
699,vocabulary,TOPIK I,골목,alley,골목에 있어요,It is in the alley,골목이 좁아요,The alley is narrow,
700,vocabulary,TOPIK I,골프,golf,골프를 쳐요,I play golf,골프가 어려워요,Golf is difficult,
701,vocabulary,TOPIK I,곱다,beautiful,경치가 곱어요,The scenery is beautiful,색이 곱어요,The color is beautiful,
702,vocabulary,TOPIK I,곳,place,좋은 곳이에요,It is a good place,여기가 그곳이에요,This is the place,
703,vocabulary,TOPIK I,공,ball,공을 던져요,I throw a ball,공을 받아요,I catch the ball,
704,vocabulary,TOPIK I,공간,space,공간이 넓어요,The space is large,공간이 필요해요,I need space,
705,vocabulary,TOPIK I,공기,air,공기가 좋아요,The air is good,공기가 맑아요,The air is clean,
706,vocabulary,TOPIK I,공무원,public official,공무원이 돼요,I become a public official,공무원이 많아요,There are many officials,
707,vocabulary,TOPIK I,공부,study,공부를 해요,I study,공부가 중요해요,Study is important,
708,vocabulary,TOPIK I,공부하다,study,매일 공부해요,I study every day,열심히 공부했어요,I studied hard,
709,vocabulary,TOPIK I,공연,performance,공연을 봐요,I watch a performance,공연이 재미있어요,The performance is fun,
710,vocabulary,TOPIK I,공원,park,공원에 가요,I go to the park,공원이 넓어요,The park is big,
711,vocabulary,TOPIK I,공중전화,payphone,공중전화를 써요,I use a payphone,공중전화가 있어요,There is a payphone,
712,vocabulary,TOPIK I,공짜,free,공짜예요,It is free,공짜로 받았어요,I got it for free,
713,vocabulary,TOPIK I,공책,notebook,공책에 써요,I write in a notebook,공책을 샀어요,I bought a notebook,
714,vocabulary,TOPIK I,공항,airport,공항에 가요,I go to the airport,공항이 멀어요,The airport is far,
715,vocabulary,TOPIK I,공휴일,public holiday,공휴일에 쉬어요,I rest on a public holiday,내일은 공휴일이에요,Tomorrow is a public holiday,
716,vocabulary,TOPIK I,과,department/division,우리 과는 커요,Our department is big,어느 과예요?,Which department are you in?,
717,vocabulary,TOPIK I,과거,past,과거를 생각해요,I think about the past,과거 일이에요,It is a past event,
718,vocabulary,TOPIK I,과일,fruit,과일을 먹어요,I eat fruit,과일이 신선해요,The fruit is fresh,
719,vocabulary,TOPIK I,과자,snack,과자를 먹어요,I eat snacks,과자가 달아요,The snack is sweet,
720,vocabulary,TOPIK I,과학,science,과학을 공부해요,I study science,과학이 재미있어요,Science is interesting,
721,vocabulary,TOPIK I,관계,relation,관계가 좋아요,The relationship is good,관계가 중요해요,Relationships are important,
722,vocabulary,TOPIK I,관광하다,travel/sightsee,서울을 관광해요,I tour Seoul,한국을 관광했어요,I traveled around Korea,
723,vocabulary,TOPIK I,관심,interest/attention,관심이 있어요,I am interested,관심이 많아요,I have a lot of interest,
724,vocabulary,TOPIK I,광고,advertisement,광고를 봐요,I watch an advertisement,광고가 많아요,There are many ads,
725,vocabulary,TOPIK I,괜찮다,be okay,괜찮아요,It is okay,몸이 괜찮아요,I feel okay,
726,vocabulary,TOPIK I,괜찮습니다,it is fine,괜찮습니다,It is fine,저는 괜찮습니다,I am fine,
727,vocabulary,TOPIK I,교과서,textbook,교과서를 읽어요,I read a textbook,교과서가 있어요,I have a textbook,
728,vocabulary,TOPIK I,교수,professor,교수님을 만나요,I meet the professor,교수님이 설명해요,The professor explains,
729,vocabulary,TOPIK I,교실,classroom,교실에 있어요,I am in the classroom,교실이 깨끗해요,The classroom is clean,
730,vocabulary,TOPIK I,교체,substitution/replacement,교체가 필요해요,A replacement is needed,배터리를 교체해요,I replace the battery,
731,vocabulary,TOPIK I,교통,traffic,교통이 복잡해요,Traffic is heavy,교통이 편리해요,Transportation is convenient,
732,vocabulary,TOPIK I,교통사고,traffic accident,교통사고가 났어요,A traffic accident happened,교통사고를 조심하세요,Be careful of traffic accidents,
733,vocabulary,TOPIK I,교회,church,교회에 가요,I go to church,교회가 가까워요,The church is near,
734,vocabulary,TOPIK I,구,nine,구 개 있어요,There are nine,구 명이 왔어요,Nine people came,
735,vocabulary,TOPIK I,구경하다,take a look/sightsee,시장을 구경해요,I look around the market,경치를 구경했어요,I enjoyed the scenery,
736,vocabulary,TOPIK I,구두,dress shoes,구두를 신어요,I wear dress shoes,구두가 불편해요,The shoes are uncomfortable,
737,vocabulary,TOPIK I,구름,cloud,구름이 많아요,There are many clouds,구름이 예뻐요,The clouds are pretty,
738,vocabulary,TOPIK I,구십,ninety,구십 살이에요,He is ninety years old,구십 명이 있어요,There are ninety people,
739,vocabulary,TOPIK I,그리고,and,밥을 먹어요 그리고 커피를 마셔요,I eat and drink coffee,저는 학생이에요 그리고 친구도 학생이에요,I am a student and my friend is also a student,
740,vocabulary,TOPIK I,그리다,draw,그림을 그려요,I draw a picture,꽃을 그렸어요,I drew a flower,
741,vocabulary,TOPIK I,그림,drawing/picture,그림을 봐요,I look at a picture,그림이 예뻐요,The picture is pretty,
742,vocabulary,TOPIK I,그만,stop,그만 하세요,Please stop,그만 먹어요,Stop eating,
743,vocabulary,TOPIK I,그분,that person (honorific),그분은 선생님이에요,That person is a teacher,그분을 알아요,I know that person,
744,vocabulary,TOPIK I,그저께,day before yesterday,그저께 만났어요,I met him the day before yesterday,그저께 비가 왔어요,It rained the day before yesterday,
745,vocabulary,TOPIK I,그중,among them,그중 하나를 골라요,Choose one among them,그중에서 이것이 좋아요,"Among them, this one is good",
746,vocabulary,TOPIK I,그쪽,there/that side,그쪽으로 가세요,Please go that way,그쪽에 있어요,It is over there,
747,vocabulary,TOPIK I,그치다,stop,비가 그쳤어요,The rain stopped,눈이 그쳤어요,The snow stopped,
748,vocabulary,TOPIK I,극장,theater,극장에 가요,I go to the theater,극장이 커요,The theater is big,
749,vocabulary,TOPIK I,근처,nearby,학교 근처에 살아요,I live near school,근처에 식당이 있어요,There is a restaurant nearby,
750,vocabulary,TOPIK I,글,writing/text,글을 써요,I write a text,글을 읽어요,I read a text,
751,vocabulary,TOPIK I,글쎄요,well / I am not sure,"글쎄요, 잘 모르겠어요","Well, I am not sure","글쎄요, 생각해 볼게요","Well, I will think about it",
752,vocabulary,TOPIK I,남미,South America,남미에 가고 싶어요,I want to go to South America,남미는 멀어요,South America is far,
753,vocabulary,TOPIK I,남북,north and south,남북이 나뉘어요,North and South are divided,남북 관계가 중요해요,North-South relations are important,
754,vocabulary,TOPIK I,남자,man,남자가 있어요,There is a man,남자를 만나요,I meet a man,
755,vocabulary,TOPIK I,남쪽,south,남쪽으로 가요,I go south,남쪽이 따뜻해요,The south is warm,
756,vocabulary,TOPIK I,남편,husband,남편이 있어요,I have a husband,남편과 이야기해요,I talk with my husband,
757,vocabulary,TOPIK I,남학생,male student,남학생이 많아요,There are many male students,남학생을 만났어요,I met a male student,
758,vocabulary,TOPIK I,낮,noon/daytime,낮이에요,It is daytime,낮에 만나요,I meet during the day,
759,vocabulary,TOPIK I,낮다,low,가격이 낮아요,The price is low,온도가 낮아요,The temperature is low,
760,vocabulary,TOPIK I,내,mine,내 것이에요,It is mine,이건 내 책이에요,This is my book,
761,vocabulary,TOPIK I,내가,I (subject),내가 할게요,I will do it,내가 갔어요,I went,
762,vocabulary,TOPIK I,내과,internal medicine,내과에 가요,I go to internal medicine,내과 진료를 받아요,I get treatment,
763,vocabulary,TOPIK I,내년,next year,내년에 가요,I go next year,내년에 만나요,See you next year,
764,vocabulary,TOPIK I,내다,pay/submit,돈을 내요,I pay money,숙제를 내요,I submit homework,
765,vocabulary,TOPIK I,내려가다,go down,계단을 내려가요,I go down the stairs,산을 내려가요,I go down the mountain,
766,vocabulary,TOPIK I,내려오다,come down,산에서 내려와요,I come down from the mountain,버스에서 내려와요,I get off the bus,
767,vocabulary,TOPIK I,내리다,go down/fall,비가 내려요,It rains,온도가 내려요,The temperature drops,
768,vocabulary,TOPIK I,내용,content,내용을 읽어요,I read the content,내용이 중요해요,The content is important,
769,vocabulary,TOPIK I,내일,tomorrow,내일 만나요,See you tomorrow,내일 시험이에요,I have a test tomorrow,
770,vocabulary,TOPIK I,냄비,pot,냄비를 써요,I use a pot,냄비가 뜨거워요,The pot is hot,
771,vocabulary,TOPIK I,냄새,smell,냄새가 나요,It smells,냄새가 좋아요,It smells good,
772,vocabulary,TOPIK I,냉면,cold noodles,냉면을 먹어요,I eat cold noodles,냉면이 시원해요,The noodles are refreshing,
773,vocabulary,TOPIK I,냉장고,refrigerator,냉장고에 넣어요,I put it in the fridge,냉장고가 커요,The fridge is big,
774,vocabulary,TOPIK I,너,you,너는 학생이에요,You are a student,너를 알아요,I know you,
775,vocabulary,TOPIK I,너무,too/very,너무 커요,It is too big,너무 좋아요,I like it very much,
776,vocabulary,TOPIK I,넓다,wide,길이 넓어요,The road is wide,방이 넓어요,The room is spacious,
777,vocabulary,TOPIK I,넘다,exceed,속도를 넘어요,Exceed the speed,한계를 넘어요,Go beyond limits,
778,vocabulary,TOPIK I,넘어지다,fall down,넘어졌어요,I fell down,길에서 넘어졌어요,I fell on the street,
779,vocabulary,TOPIK I,넣다,put in,가방에 넣어요,I put it in the bag,물에 넣어요,I put it in water,
780,vocabulary,TOPIK I,네,yes,"네, 맞아요","Yes, that's right","네, 알겠습니다","Yes, I understand",
781,vocabulary,TOPIK I,넥타이,necktie,넥타이를 매요,I wear a tie,넥타이가 예뻐요,The tie is nice,
782,vocabulary,TOPIK I,넷,four,넷 있어요,There are four,넷 명이 와요,Four people come,
783,vocabulary,TOPIK I,넷째,fourth,넷째예요,It is the fourth,넷째 날이에요,It is the fourth day,
784,vocabulary,TOPIK I,년,year,올해는 좋은 해예요,This year is good,작년이에요,It is last year,
785,vocabulary,TOPIK I,노란색,yellow color,노란색이에요,It is yellow,노란색 옷이에요,It is a yellow outfit,
786,vocabulary,TOPIK I,노랗다,yellow,꽃이 노래요,The flower is yellow,색이 노래요,The color is yellow,
787,vocabulary,TOPIK I,노래,song,노래를 불러요,I sing a song,노래가 좋아요,The song is good,
788,vocabulary,TOPIK I,다음달,next month,다음달에 가요,I go next month,다음달에 만나요,See you next month,
789,vocabulary,TOPIK I,다음주,next week,다음주에 시험이 있어요,I have a test next week,다음주에 만나요,See you next week,
790,vocabulary,TOPIK I,다음해,next year,다음해에 여행해요,I travel next year,다음해에 다시 와요,I come again next year,
791,vocabulary,TOPIK I,다이어트,diet,다이어트를 해요,I am on a diet,다이어트가 어려워요,Dieting is hard,
792,vocabulary,TOPIK I,다치다,get hurt,다쳤어요,I got hurt,다치지 마세요,Don’t get hurt,
793,vocabulary,TOPIK I,닦다,wipe/clean,손을 닦아요,I wipe my hands,책상을 닦아요,I clean the desk,
794,vocabulary,TOPIK I,단어,word,단어를 외워요,I memorize words,새 단어예요,It is a new word,
795,vocabulary,TOPIK I,단점,disadvantage,단점이 있어요,There is a disadvantage,단점을 말해요,I say the weakness,
796,vocabulary,TOPIK I,닫다,close,문을 닫아요,I close the door,가게를 닫아요,I close the shop,
797,vocabulary,TOPIK I,닫히다,be closed,문이 닫혀요,The door is closed,가게가 닫혔어요,The shop is closed,
798,vocabulary,TOPIK I,달,month/moon,한 달이에요,It is one month,달이 보여요,The moon is visible,
799,vocabulary,TOPIK I,달걀,egg,달걀을 먹어요,I eat eggs,달걀이 있어요,There are eggs,
800,vocabulary,TOPIK I,달다,sweet,맛이 달아요,It tastes sweet,케이크가 달아요,The cake is sweet,
801,vocabulary,TOPIK I,달러,dollar,달러를 써요,I use dollars,100달러예요,It is 100 dollars,
802,vocabulary,TOPIK I,달력,calendar,달력을 봐요,I look at the calendar,달력이 필요해요,I need a calendar,
803,vocabulary,TOPIK I,달리다,run,빨리 달려요,I run fast,운동장에서 달려요,I run in the field,
804,vocabulary,TOPIK I,닭고기,chicken,닭고기를 먹어요,I eat chicken,닭고기가 맛있어요,Chicken is delicious,
805,vocabulary,TOPIK I,닮다,resemble,아버지를 닮았어요,I resemble my father,엄마를 닮았어요,I resemble my mother,
806,vocabulary,TOPIK I,담그다,put in/soak,김치를 담가요,I make kimchi,물에 담가요,I soak in water,
807,vocabulary,TOPIK I,담배,cigarette,담배를 피워요,I smoke,담배를 끊어요,I quit smoking,
808,vocabulary,TOPIK I,답장,reply,답장을 써요,I write a reply,답장이 왔어요,I got a reply,
809,vocabulary,TOPIK I,당근,carrot,당근을 먹어요,I eat carrots,당근이 좋아요,I like carrots,
810,vocabulary,TOPIK I,당신,you,당신은 누구예요,Who are you,당신을 알아요,I know you,
811,vocabulary,TOPIK I,대,versus,한국 대 일본,Korea vs Japan,A 대 B,A vs B,
812,vocabulary,TOPIK I,대답,answer,대답을 해요,I give an answer,대답이 맞아요,The answer is correct,
813,vocabulary,TOPIK I,대답하다,answer,질문에 대답해요,I answer a question,잘 대답했어요,I answered well,
814,vocabulary,TOPIK I,대부분,mostly,대부분 좋아요,Mostly good,대부분 사람이 와요,Most people come,
815,vocabulary,TOPIK I,대사관,embassy,대사관에 가요,I go to the embassy,대사관이 있어요,There is an embassy,
816,vocabulary,TOPIK I,대학,university,대학에 다녀요,I attend university,대학이 커요,The university is big,
817,vocabulary,TOPIK I,대학교,university,대학교에 입학해요,I enter university,대학교가 좋아요,The university is good,
818,vocabulary,TOPIK I,대학생,college student,대학생이에요,I am a college student,대학생이 많아요,There are many students,
819,vocabulary,TOPIK I,대학원,graduate school,대학원에 가요,I go to grad school,대학원이 어려워요,It is difficult,
820,vocabulary,TOPIK I,대학원생,graduate student,대학원생이에요,I am a grad student,대학원생을 만나요,I meet a grad student,
821,vocabulary,TOPIK I,대한민국,Republic of Korea,대한민국에 살아요,I live in Korea,대한민국이 좋아요,I like Korea,
822,vocabulary,TOPIK I,대화,conversation,대화를 해요,I have a conversation,대화가 중요해요,Conversation is important,
823,vocabulary,TOPIK I,대회,competition,대회에 나가요,I join a competition,대회가 커요,The competition is big,
824,vocabulary,TOPIK I,댁,house (honorific),댁에 가요,I go to your house,댁이 어디예요,Where is your house,
825,vocabulary,TOPIK I,더,more,더 주세요,Give me more,더 좋아요,It is better,
826,vocabulary,TOPIK I,더럽다,dirty,방이 더러워요,The room is dirty,손이 더러워요,My hands are dirty,
827,vocabulary,TOPIK I,두부,tofu,두부를 먹어요,I eat tofu,두부가 부드러워요,Tofu is soft,
828,vocabulary,TOPIK I,두부찌개,tofu stew,두부찌개를 먹어요,I eat tofu stew,두부찌개가 맛있어요,It is delicious,
829,vocabulary,TOPIK I,둘,two,둘 있어요,There are two,둘이 가요,Two people go,
830,vocabulary,TOPIK I,둘째,second,둘째예요,It is second,둘째 날이에요,It is second day,
831,vocabulary,TOPIK I,뒤,back,뒤에 있어요,It is behind,뒤로 가요,I go back,
832,vocabulary,TOPIK I,뒤쪽,back/behind,뒤쪽에 앉아요,I sit in the back,뒤쪽이 조용해요,It is quiet in the back,
833,vocabulary,TOPIK I,드라마,drama,드라마를 봐요,I watch a drama,드라마가 재미있어요,The drama is fun,
834,vocabulary,TOPIK I,드리다,give (honorific),선물을 드려요,I give a gift,도와 드려요,I help you,
835,vocabulary,TOPIK I,드시다,eat (honorific),밥을 드세요,Please eat,많이 드세요,Eat a lot,
836,vocabulary,TOPIK I,듣기,listening,듣기를 연습해요,I practice listening,듣기가 어려워요,Listening is hard,
837,vocabulary,TOPIK I,듣다,listen,음악을 들어요,I listen to music,말을 들어요,I listen to words,
838,vocabulary,TOPIK I,들다,hold/carry,가방을 들어요,I hold a bag,손에 들어요,I hold in hand,
839,vocabulary,TOPIK I,들어가다,go in,방에 들어가요,I go into the room,집에 들어가요,I enter the house,
840,vocabulary,TOPIK I,들어오다,come in,들어오세요,Please come in,방에 들어왔어요,I came into the room,
841,vocabulary,TOPIK I,등,etc/back,등이 아파요,My back hurts,과일 등,fruit etc,
842,vocabulary,TOPIK I,등산,hiking,등산을 해요,I go hiking,산에 올라가요,I climb a mountain,
843,vocabulary,TOPIK I,모두,all,모두 왔어요,Everyone came,모두 좋아해요,Everyone likes it,
844,vocabulary,TOPIK I,모레,the day after tomorrow,모레 만나요,See you the day after tomorrow,모레 시험이 있어요,I have an exam the day after tomorrow,
845,vocabulary,TOPIK I,모르겠습니다,I don’t know,잘 모르겠습니다,I don’t know well,죄송하지만 모르겠습니다,"Sorry, but I don’t know",
846,vocabulary,TOPIK I,모르다,not know,저는 몰라요,I don’t know,답을 몰라요,I don’t know the answer,
847,vocabulary,TOPIK I,모시다,escort/take respectfully,부모님을 모시고 가요,I take my parents respectfully,손님을 모셔요,I escort the guest,
848,vocabulary,TOPIK I,모양,shape,모양이 예뻐요,The shape is pretty,모양이 이상해요,The shape is strange,
849,vocabulary,TOPIK I,모으다,gather/collect,돈을 모아요,I save money,사람을 모아요,I gather people,
850,vocabulary,TOPIK I,모이다,gather/get together,사람들이 모여요,People gather,친구들이 모였어요,Friends gathered,
851,vocabulary,TOPIK I,모임,meeting/gathering,모임이 있어요,There is a meeting,모임에 가요,I go to a gathering,
852,vocabulary,TOPIK I,모자,hat,모자를 써요,I wear a hat,모자가 예뻐요,The hat is pretty,
853,vocabulary,TOPIK I,목,neck/throat,목이 아파요,My throat hurts,목이 길어요,The neck is long,
854,vocabulary,TOPIK I,목걸이,necklace,목걸이를 해요,I wear a necklace,목걸이가 예뻐요,The necklace is pretty,
855,vocabulary,TOPIK I,목소리,voice,목소리가 좋아요,The voice is nice,목소리가 커요,The voice is loud,
856,vocabulary,TOPIK I,목요일,Thursday,목요일에 만나요,Let’s meet on Thursday,목요일에 수업이 있어요,I have class on Thursday,
857,vocabulary,TOPIK I,목욕,bath,목욕을 해요,I take a bath,목욕이 좋아요,I like baths,
858,vocabulary,TOPIK I,목욕하다,take a bath,저녁에 목욕해요,I take a bath in the evening,목욕하고 쉬어요,I take a bath and rest,
859,vocabulary,TOPIK I,목적,purpose,목적이 있어요,I have a purpose,목적을 말해요,I state the purpose,
860,vocabulary,TOPIK I,몸,body,몸이 아파요,My body hurts,몸이 건강해요,My body is healthy,
861,vocabulary,TOPIK I,몸살,body aches,몸살이 났어요,I have body aches,몸살 때문에 쉬어요,I rest because of body aches,
862,vocabulary,TOPIK I,바뀌다,change/be changed,계획이 바뀌었어요,The plan changed,시간이 바뀌었어요,The time changed,
863,vocabulary,TOPIK I,바나나,banana,바나나를 먹어요,I eat a banana,바나나가 달아요,The banana is sweet,
864,vocabulary,TOPIK I,바다,sea,바다에 가요,I go to the sea,바다가 아름다워요,The sea is beautiful,
865,vocabulary,TOPIK I,바닷가,beach/seaside,바닷가에서 쉬어요,I rest at the beach,바닷가가 예뻐요,The seaside is pretty,
866,vocabulary,TOPIK I,바라다,hope,성공을 바라요,I hope for success,행복을 바라요,I hope for happiness,
867,vocabulary,TOPIK I,바람,wind,바람이 불어요,The wind blows,바람이 시원해요,The wind is cool,
868,vocabulary,TOPIK I,바로,immediately/right away,바로 가요,I go right away,바로 시작해요,I start immediately,
869,vocabulary,TOPIK I,바르다,correct/right,답이 바르요,The answer is correct,생각이 바르요,The thought is right,
870,vocabulary,TOPIK I,바쁘다,busy,오늘 바빠요,I am busy today,일이 바빠요,Work is busy,
871,vocabulary,TOPIK I,바이올린,violin,바이올린을 배워요,I learn violin,바이올린을 연주해요,I play the violin,
872,vocabulary,TOPIK I,바지,pants,바지를 입어요,I wear pants,바지가 편해요,The pants are comfortable,
873,vocabulary,TOPIK I,박물관,museum,박물관에 가요,I go to the museum,박물관이 커요,The museum is big,
874,vocabulary,TOPIK I,박수,clap,박수를 쳐요,I clap,박수가 커요,The applause is loud,
875,vocabulary,TOPIK I,밖,outside,밖에 나가요,I go outside,밖이 추워요,It is cold outside,
876,vocabulary,TOPIK I,반,half,반만 주세요,Please give me half,반을 먹었어요,I ate half,
877,vocabulary,TOPIK I,반갑다,glad/nice to meet,만나서 반가워요,Nice to meet you,정말 반가워요,I am really glad,
878,vocabulary,TOPIK I,반갑습니다,nice to meet you,반갑습니다,Nice to meet you,만나서 반갑습니다,Nice to meet you,
879,vocabulary,TOPIK I,반년,half a year,반년 동안 공부했어요,I studied for half a year,반년이 지났어요,Half a year passed,
880,vocabulary,TOPIK I,반달,half-moon,반달이 보여요,I see a half-moon,반달이 예뻐요,The half-moon is pretty,
881,vocabulary,TOPIK I,반바지,shorts,반바지를 입어요,I wear shorts,반바지가 편해요,Shorts are comfortable,
882,vocabulary,TOPIK I,반지,ring,반지를 껴요,I wear a ring,반지가 예뻐요,The ring is pretty,
883,vocabulary,TOPIK I,반찬,side dish,반찬을 먹어요,I eat side dishes,반찬이 많아요,There are many side dishes,
884,vocabulary,TOPIK I,받다,receive,선물을 받아요,I receive a gift,편지를 받았어요,I received a letter,
885,vocabulary,TOPIK I,발,foot,발이 아파요,My foot hurts,발을 씻어요,I wash my feet,
886,vocabulary,TOPIK I,발가락,toe,발가락이 아파요,My toe hurts,발가락을 다쳤어요,I hurt my toe,
887,vocabulary,TOPIK I,발음,pronunciation,발음이 좋아요,The pronunciation is good,발음을 연습해요,I practice pronunciation,
888,vocabulary,TOPIK I,발전,development,발전이 있어요,There is development,도시가 발전했어요,The city developed,
889,vocabulary,TOPIK I,발표,presentation,발표를 해요,I give a presentation,발표가 어려워요,The presentation is difficult,
890,vocabulary,TOPIK I,밝다,bright,방이 밝아요,The room is bright,얼굴이 밝아요,The face is bright,
891,vocabulary,TOPIK I,밤,night,밤에 공부해요,I study at night,밤이 조용해요,The night is quiet,
892,vocabulary,TOPIK I,밥,rice/meal,밥을 먹어요,I eat rice,밥이 맛있어요,The rice is delicious,
893,vocabulary,TOPIK I,방,room,방이 커요,The room is big,방에서 쉬어요,I rest in the room,
894,vocabulary,TOPIK I,방법,method,방법을 알아요,I know the method,좋은 방법이에요,It is a good method,
895,vocabulary,TOPIK I,방송,broadcast,방송을 봐요,I watch a broadcast,방송이 시작돼요,The broadcast starts,
896,vocabulary,TOPIK I,방송국,broadcasting station,방송국에 가요,I go to the broadcasting station,방송국이 커요,The station is big,
897,vocabulary,TOPIK I,방학,vacation,방학에 쉬어요,I rest during vacation,방학이 길어요,The vacation is long,
898,vocabulary,TOPIK I,배,ship/pear/stomach,배를 타요,I ride a ship,배가 아파요,My stomach hurts,
899,vocabulary,TOPIK I,배고프다,hungry,배고파요,I am hungry,너무 배고파요,I am very hungry,
900,vocabulary,TOPIK I,배구,volleyball,배구를 해요,I play volleyball,배구가 재미있어요,Volleyball is fun,
901,vocabulary,TOPIK I,빨간색,red color,빨간색이에요,It is red,빨간색 옷이에요,It is a red outfit,
902,vocabulary,TOPIK I,빨갛다,red,얼굴이 빨개요,The face is red,사과가 빨개요,The apple is red,
903,vocabulary,TOPIK I,빨다,suck,손가락을 빨아요,I suck my finger,사탕을 빨아요,I suck candy,
904,vocabulary,TOPIK I,빨래,laundry,빨래를 해요,I do laundry,빨래가 많아요,There is a lot of laundry,
905,vocabulary,TOPIK I,빨리,quickly,빨리 와요,Come quickly,빨리 먹어요,Eat quickly,
906,vocabulary,TOPIK I,빵,bread,빵을 먹어요,I eat bread,빵이 맛있어요,Bread is delicious,
907,vocabulary,TOPIK I,삼촌,uncle,삼촌을 만나요,I meet my uncle,삼촌이 와요,My uncle comes,
908,vocabulary,TOPIK I,상관,relationship,상관이 있어요,There is a relation,상관없어요,It does not matter,
909,vocabulary,TOPIK I,상자,box,상자를 열어요,I open a box,상자가 커요,The box is big,
910,vocabulary,TOPIK I,상처,wound,상처가 있어요,There is a wound,상처를 치료해요,I treat a wound,
911,vocabulary,TOPIK I,상품,product,상품을 사요,I buy a product,상품이 좋아요,The product is good,
912,vocabulary,TOPIK I,새,bird,새가 날아요,The bird flies,새를 봐요,I see a bird,
913,vocabulary,TOPIK I,새로,newly,새로 시작해요,I start newly,새로 만들어요,I make new,
914,vocabulary,TOPIK I,새벽,dawn,새벽에 일어나요,I wake up at dawn,새벽이 조용해요,Dawn is quiet,
915,vocabulary,TOPIK I,새우,shrimp,새우를 먹어요,I eat shrimp,새우가 맛있어요,Shrimp is delicious,
916,vocabulary,TOPIK I,색,color,색이 예뻐요,The color is pretty,색을 고르세요,Choose a color,
917,vocabulary,TOPIK I,색깔,color,색깔이 다양해요,The colors are diverse,색깔을 좋아해요,I like colors,
918,vocabulary,TOPIK I,샌드위치,sandwich,샌드위치를 먹어요,I eat a sandwich,샌드위치가 맛있어요,It is delicious,
919,vocabulary,TOPIK I,생각,thought,생각이 있어요,I have a thought,좋은 생각이에요,It is a good idea,
920,vocabulary,TOPIK I,생각되다,be considered,좋다고 생각돼요,It is considered good,필요하다고 생각돼요,It seems necessary,
921,vocabulary,TOPIK I,생각하다,think,생각해요,I think,다시 생각해요,I think again,
922,vocabulary,TOPIK I,생기다,occur/form,문제가 생겼어요,A problem occurred,시간이 생겼어요,I got free time,
923,vocabulary,TOPIK I,생선,fish,생선을 먹어요,I eat fish,생선이 신선해요,The fish is fresh,
924,vocabulary,TOPIK I,생일,birthday,생일이에요,It is a birthday,생일 축하해요,Happy birthday,
925,vocabulary,TOPIK I,생활,life,생활이 바빠요,Life is busy,생활이 좋아요,Life is good,
926,vocabulary,TOPIK I,샤워하다,take a shower,샤워해요,I take a shower,아침에 샤워해요,I shower in the morning,
927,vocabulary,TOPIK I,샴푸,shampoo,샴푸를 써요,I use shampoo,샴푸가 좋아요,The shampoo is good,
928,vocabulary,TOPIK I,서다,stand,줄에 서요,I stand in line,여기에 서요,Stand here,
929,vocabulary,TOPIK I,서로,each other,서로 도와요,We help each other,서로 사랑해요,We love each other,
930,vocabulary,TOPIK I,서류,document,서류를 제출해요,I submit documents,서류가 필요해요,Documents are needed,
931,vocabulary,TOPIK I,서른,thirty,서른 살이에요,I am 30,서른 명이에요,There are 30 people,
932,vocabulary,TOPIK I,서비스,service,서비스가 좋아요,The service is good,서비스를 받아요,I receive service,
933,vocabulary,TOPIK I,서양,western,서양 음식이에요,It is Western food,서양 문화를 배워요,I learn Western culture,
934,vocabulary,TOPIK I,서울,Seoul,서울에 살아요,I live in Seoul,서울이 커요,Seoul is big,
935,vocabulary,TOPIK I,서울역,Seoul station,서울역에 가요,I go to Seoul Station,서울역이 복잡해요,It is crowded,
936,vocabulary,TOPIK I,서점,bookstore,서점에 가요,I go to a bookstore,서점에서 책을 사요,I buy a book,
937,vocabulary,TOPIK I,서쪽,west,서쪽으로 가요,I go west,서쪽이 어두워요,The west is dark,
938,vocabulary,TOPIK I,선물,gift,선물을 줘요,I give a gift,선물을 받아요,I receive a gift,
939,vocabulary,TOPIK I,선배,senior,선배를 만나요,I meet a senior,선배가 도와줘요,The senior helps me,
940,vocabulary,TOPIK I,선생님,teacher,선생님을 만나요,I meet the teacher,선생님이 설명해요,The teacher explains,
941,vocabulary,TOPIK I,선수,player,선수가 많아요,There are many players,선수를 봐요,I watch a player,
942,vocabulary,TOPIK I,선택하다,choose,선택해요,I choose,잘 선택했어요,I chose well,
943,vocabulary,TOPIK I,아기,baby,아기가 울어요,The baby cries,아기가 귀여워요,The baby is cute,
944,vocabulary,TOPIK I,아까,earlier,아까 만났어요,I met earlier,아까 먹었어요,I ate earlier,
945,vocabulary,TOPIK I,아내,wife,아내를 사랑해요,I love my wife,아내가 요리해요,My wife cooks,
946,vocabulary,TOPIK I,아뇨,no,"아뇨, 아니에요","No, it isn’t","아뇨, 괜찮아요","No, it’s okay",
947,vocabulary,TOPIK I,아니다,not,그건 아니에요,That is not true,제가 아니에요,It is not me,
948,vocabulary,TOPIK I,아니오,no,"아니오, 필요 없어요","No, I don’t need it","아니오, 감사합니다","No, thanks",
949,vocabulary,TOPIK I,아니요,no,"아니요, 괜찮아요","No, it's fine","아니요, 몰라요","No, I don’t know",
950,vocabulary,TOPIK I,아들,son,아들이 있어요,I have a son,아들이 학교에 가요,My son goes to school,
951,vocabulary,TOPIK I,아랍어,Arabic,아랍어를 배워요,I learn Arabic,아랍어가 어려워요,Arabic is difficult,
